Time,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,VelocityAV1,VelocityAV2,VelocityAV3,Accel1,Accel2,Accel3,Accel4,Accel5,Accel6,AccelAV1,AccelAV2,AccelAV3,Headway1,Headway2,Headway3,Headway4,Headway5,Headway6,HeadwayAV1,HeadwayAV2,HeadwayAV3,StdDV(Headway)
16.5,27.835072566303396,28.056257170053886,21.349143046812852,15.217605100919206,12.129017363418336,11.174064442503143,26.923549569375503,25.18073198211518,13.210133982995824,-0.053183189008855436,0.39968971116540575,2.0926291685288367,1.9528519654593681,0.274094595091831,0.2678568634843377,0.041887195810081934,1.083944190933098,1.035686090234015,86.3099502958778,90.21711308913268,78.75626590425708,64.0018219535184,48.87035679366343,46.26385771478084,140.3338897741985,75.43973017992096,48.20772123784985,29.555711855255794
17.0,27.804782650536012,28.221466756298945,22.351715652223078,16.235270013262355,12.276566159588533,11.314975403055467,26.94488588200642,25.658799495015018,13.755221187009797,-0.06762134211375896,0.2713258214048779,1.941564905815191,2.142357024299535,0.32722977817313076,0.29849396101404047,0.04780333531179881,0.9225326891763999,1.2500558866343874,85.86762656524581,90.05272737722396,80.54527246872254,67.09070280607301,49.522092049731185,46.74557071384538,132.48972303451802,76.7988470170751,49.355091065199105,27.041779934253963
17.5,27.768915315430753,28.32998147377722,23.271911796059268,17.333894567418742,12.458025136125343,11.468936001085877,26.969397870423094,26.064039120847927,14.401741418695545,-0.07599203801624696,0.17048033547695382,1.7626161410319625,2.2766806173462153,0.4112697009715991,0.32127092670658475,0.05529226681911581,0.7789311123900171,1.4589131602041627,85.45354948221404,89.80421727422504,82.07212783287804,70.1273492589313,50.3929263446864,47.235914522453925,124.70810546102166,78.0043919121531,50.736055026535894,24.61154388711578
18.0,27.730088663527376,28.394359074863836,24.09888193734683,18.483799850029005,12.688769983977641,11.633220048762139,26.997951744899588,26.405112689876763,15.144290460496704,-0.0797609262607395,0.09265962564963316,1.5679323079947607,2.347241577254697,0.526004840803569,0.3411358989393623,0.06483138231555419,0.6535506092815517,1.6504199075563672,85.07161796120181,89.49454588058313,83.34709648174783,73.03434641162607,51.51133690015172,47.75043974926183,116.99294716490013,79.06579485937141,52.33341130569136,22.28114197942438
18.5,27.69033003200876,28.424927750125395,24.827685346046263,19.652180778483253,12.983575033346566,11.807730425165675,27.031624354471724,26.690547300501997,15.97167103891806,-0.07987534971876259,0.033479991124892194,1.368905014952314,2.3503185397151336,0.6691835034275855,0.363650661726275,0.07681762812652249,0.5455238603879224,1.8123412619996175,84.72507978785688,89.14211271816771,84.38863367943554,75.74627729926834,52.89391118711822,48.312950042920306,109.34697653628717,79.99381682609413,54.11834482616115,20.072864855388826
19.0,27.651293860811325,28.429948903571283,25.458615227012885,20.80576694537196,13.355576169843287,11.995183647278683,27.071653112871257,26.928268219041726,16.867040082800802,-0.07691518731488499,-0.010947697566735581,1.1750506551191364,2.287896612388553,0.8364161187358345,0.3945020508172775,0.09151790691971762,0.4532790163283622,1.933549803228138,84.41685951069474,88.76160276635676,85.22037396498183,78.2134001895248,54.54303056510045,48.95354036569046,101.77301957718913,80.79967301555348,56.05247993597254,18.01956131183142
19.5,27.614414337664382,28.41591120116609,25.99609970560449,21.91366519038288,13.815193963018658,12.201052187298536,27.108245227587766,27.12536770905785,17.80886123662875,-0.07120679245099239,-0.04385788791690004,0.9934316470850775,2.167505124928922,1.0211232568825648,0.4390173189536022,-0.06697935184850046,0.3749533944923833,2.0058155055992373,84.14877624784117,88.36480525819775,85.86841424152004,80.40345999844988,56.44537709040637,49.70607552355648,94.27603413250947,81.49444783711931,58.091057785310625,16.169984223922125
20.0,27.58100850719958,28.387865337814734,26.447442207283977,22.94986677364025,14.369058603801827,12.433270288850961,26.796179342536288,27.288035247736268,18.77267161051852,-0.06291056262667426,-0.0678123654848342,0.8285738509006351,2.0010463296152197,1.2146164467683016,0.5016978060665274,-1.3625373845962354,0.30866062846227466,2.0253225365531025,83.84317575932948,87.96133385492669,86.35913092101305,82.30153995757979,58.57169053392269,50.60521882280105,86.93615449840166,82.08874188317964,60.18676837813547,14.594685218128971
20.5,27.552199816102227,28.349745844008694,26.821616653040664,23.89498273557193,15.019029745746739,12.701715079891038,25.81920970756211,27.421586712100474,19.73339552143885,-0.05506875409618885,-0.08476002988994866,0.6827421756306904,1.8029303926649094,1.4064239593481083,0.5857815301010132,-2.6619981485455693,0.25264424313922834,1.9933644641286037,83.21038297185873,87.55920995569852,86.71761509497702,83.90822410351092,60.878095931022386,51.68315092804954,80.0507933391142,82.5924911298456,62.29359233089036,13.35960113440338
21.0,27.51399243956193,28.304653092153956,27.12825502672189,24.736979388551088,15.761457121330896,13.017480011175877,24.347426403845606,27.530446366017625,20.6677345988345,-0.12488489070574291,-0.09613070365855947,0.5564107261563969,1.5880082563939604,1.5849520163437596,0.6928462745403814,-3.398761774209409,0.20434643549951303,1.9159550736686182,81.95474181865677,87.16257118771023,86.96668276464828,85.23659532726361,63.30906510010624,52.966173506388316,73.93993482936216,83.01491655005032,64.37003609067466,12.465473197688029
