Time,Velocity1,Velocity2,VelocityAV1,Accel1,Accel2,AccelAV1,Headway1,Headway2,HeadwayAV1,StdDV(Headway)
73.22,29.999929084006535,29.999344360508978,29.99988657071601,7.528199790840517e-06,-4.7300635074520815e-06,-2.8016653376994338e-05,423.14821126775314,55.352793033568105,227.6989920044357,184.0186038078783
73.24,29.99992923483149,29.99934426918859,29.99988605302598,7.715646491135431e-06,-4.542863252510177e-06,-2.5965202571853768e-05,423.14821039461367,55.35280473597368,227.69898116875902,184.01859786426706
73.26,29.99992938946134,29.999344181599948,29.999885577864475,7.88410347851709e-06,-4.3579675569560496e-06,-2.3834706674108475e-05,423.1482095097572,55.352816443291886,227.69897034083397,184.01859191211355
73.28,29.999929547511453,29.999344097694145,29.999885146643223,8.032882085728943e-06,-4.175349828017255e-06,-2.1633515615349124e-05,423.14820861401904,55.35282815550954,227.69895951985518,184.01858595186727
73.3,29.999929708583235,29.999344017422903,29.99988476060315,8.161369047599011e-06,-3.994973055654338e-06,-1.9370181814792902e-05,423.1482077082637,55.35283987260664,227.69894870499138,184.01857998399635
73.32,29.99992987226565,29.999343940738775,29.999884420811007,8.269028427321246e-06,-3.8167904662600395e-06,-1.705342722004843e-05,423.14820679338163,55.35285159455452,227.69893789538992,184.01857400898686
73.34,29.999930038136796,29.999343867595353,29.999884128156662,8.355403229387547e-06,-3.640746211885942e-06,-1.4692109913028156e-05,423.1482058702859,55.35286332131773,227.69892709017859,184.01856802734028
73.36,29.99993020576551,29.999343797947443,29.999883883351032,8.420116719065618e-06,-3.466776067284638e-06,-1.2295190440170256e-05,423.1482049399092,55.35287505285305,227.69891628847063,184.01856203957206
73.38,29.99993037471299,29.999343731751235,29.999883686924722,8.462873424264217e-06,-3.2948081482686413e-06,-9.87169802186828e-06,423.1482040031992,55.35288678910911,227.698905489367,184.01855604620962
73.4,29.99993054453445,29.999343668964467,29.99988353922733,8.483459825470164e-06,-3.124763652806456e-06,-7.430696746268972e-06,423.1482030611169,55.35289853002541,227.69889469196187,184.01855004779162
73.42,29.99993071478078,29.99934360954655,29.999883440427418,8.481744742994124e-06,-2.9565576099344125e-06,-4.981251827018696e-06,423.14820211463166,55.352910275534214,227.69888389534435,184.01854404486494
73.44,29.999930885000218,29.9993435534587,29.999883390513155,8.45767940589326e-06,-2.7900996272478497e-06,-2.5323961295953214e-06,423.14820116471765,55.35292202556002,227.69887309860314,184.0185380379824
73.46,29.99993105474002,29.999343500664054,29.999883389293633,8.411297218202662e-06,-2.6252946668137048e-06,-9.309705575335451e-08,423.14820021235073,55.35293378001779,227.69886230083057,184.01853202770252
73.48,29.999931223548135,29.999343451127746,29.99988343640082,8.342713218922881e-06,-2.462043808293396e-06,2.327776130073289e-06,423.14819925850543,55.352945538814765,227.69885150112486,184.01852601458663
73.5,29.999931390974847,29.999343404817,29.99988353129216,8.252123237895149e-06,-2.3002450163289506e-06,4.721484377512286e-06,423.14819830415126,55.35295730184998,227.69884069859563,184.0185199991973
73.52,29.999931556574435,29.999343361701186,29.9998836732538,8.139802760354087e-06,-2.139793904376553e-06,7.079450206504134e-06,423.14819735024776,55.35296906901431,227.6988298923643,184.01851398209587
73.54,29.99993171990677,29.999343321751866,29.999883861404435,8.006105495184102e-06,-1.98058449925041e-06,9.393288254955207e-06,423.1481963977435,55.35298084019041,227.69881908157095,184.0185079638416
73.56,29.999931880538906,29.999343284942828,29.999884094699713,7.85146166677464e-06,-1.8225099886137687e-06,1.1654834904106781e-05,423.1481954475712,55.35299261525233,227.6988082653761,184.0185019449895
73.58,29.99993203804664,29.9993432512501,29.99988437193726,7.676376029763788e-06,-1.6654634649171385e-06,1.3856176883564325e-05,423.14819450064533,55.35300439406774,227.6987974429626,184.0184959260879
73.6,29.99993219201602,29.999343220651948,29.99988469176221,7.481425620881055e-06,-1.5093386551257135e-06,1.5989678752248443e-05,423.1481935578581,55.35301617649566,227.6987866135405,184.01848990767743
73.62,29.999932342044794,29.999343193128873,29.999885052673292,7.267257252863146e-06,-1.3540306298409632e-06,1.8048009148685635e-05,423.1481926200777,55.35302796238784,227.69877577634998,184.01848389028942
73.64,29.999932487743855,29.999343168663565,29.999885453029385,7.034584772469544e-06,-1.1994364975009993e-06,2.0024165736742794e-05,423.1481916881439,55.35303975158922,227.69876493066295,184.0184778744434
73.66,29.99993262873858,29.999343147240875,29.99988589105657,6.784186069097587e-06,-1.0454560751327118e-06,2.1911498788540474e-05,423.1481907628663,55.35305154393791,227.69875407578638,184.018471860646
73.68,29.99993276467013,29.999343128847755,29.99988636485562,6.516899885156136e-06,-8.919925377881663e-07,2.3703733245383763e-05,423.1481898450211,55.35306333926519,227.6987432110659,184.01846584938946
73.7,29.99993289519669,29.99934311347318,29.999886872409864,6.23362240617098e-06,-7.389530395585044e-07,2.53949893135541e-05,423.148188935349,55.353075137395535,227.69873233588714,184.0184598411504
73.72,29.999933019994625,29.999343101108085,29.999887411593495,5.935303665438596e-06,-5.862493146935484e-07,2.6979801373272483e-05,423.14818803455273,55.35308693814886,227.69872144967712,184.0184538363873
73.74,29.99993313875958,29.99934309174525,29.999887980180166,5.622943772465306e-06,-4.337982304036922e-07,2.8453135293204923e-05,423.1481871432943,55.35309874133782,227.6987105519088,184.01844783554066
73.76,29.999933251207484,29.999343085379202,29.999888575851916,5.2975889694550905e-06,-2.8152233539911514e-07,2.981040398424283e-05,423.1481862621945,55.353110546771404,227.69869964209965,184.01844183903063
73.78,29.9999333570755,29.99934308200611,29.999889196208386,4.960327554925925e-06,-1.2935034519043816e-07,3.10474812152961e-05,423.1481853918285,55.35312235425408,227.69868871981544,184.0184358472554
73.8,29.999933456122854,29.999343081623643,29.999889838776255,4.612285668059712e-06,2.2782385400411075e-08,3.2160713639939315e-05,423.1481845327262,55.3531341635844,227.69867778467233,184.01842986059188
73.82,29.999933548131626,29.999343084230837,29.99989050101889,4.254622962207578e-06,1.7493343023032874e-07,3.314693095006759e-05,423.14818368537044,55.353145974558174,227.69866683633654,184.01842387939325
73.84,29.999933632907414,29.999343089827956,29.99989118034615,3.888528178919159e-06,3.271529138260229e-07,3.400345420629945e-05,423.14818285019464,55.35315778696713,227.69865587452614,184.01841790398842
73.86,29.999933710279922,29.99934309841634,29.99989187412435,3.515214648786014e-06,4.794831511389767e-07,3.47281022911261e-05,423.14818202758306,55.35316960060072,227.69864489901192,184.01841193468118
73.88,29.99993378010346,29.999343109998236,29.99989257968627,3.1359157219412743e-06,6.31958336327898e-07,3.531919646775349e-05,423.1481812178681,55.35318141524613,227.6986339096179,184.01840597174893
73.9,29.999933842257352,29.99934312457664,29.999893294341256,2.751880155926755e-06,7.846042720416498e-07,3.577556304321661e-05,423.14818042133084,55.35319323068734,227.69862290622268,184.01840001544323
73.92,29.99993389664624,29.999343142155123,29.999894015385312,2.364367479401607e-06,9.374381470195149e-07,3.609653416276616e-05,423.14817963819996,55.3532050467079,227.69861188875802,184.01839406598813
73.94,29.999933943200308,29.999343162737656,29.999894740111195,1.974643337376847e-06,1.090468339981493e-06,3.6281946734106896e-05,423.1481788686524,55.35321686309044,227.69860085721075,184.01838812358045
